"","Year","plot_1","min_H2S_ppm","max_H2S_ppm","mean_H2S_ppm","sd_H2S_ppm"
"1","2023","Control",0.4925,0.5781,0.5246,0.0371
"2","2023","Freshwater",0.4497,0.6423,0.5567,0.0801
"3","2023","Saltwater",0.3428,1.926,0.7324,0.4335
"4","2024","Control",0,0,0,NA
"5","2024","Freshwater",0,0,0,0
"6","2024","Saltwater",0,0,0,0
"7","2025","Control",0,1.3524,0.0442,0.2179
"8","2025","Freshwater",0,2.7389,0.1876,0.6565
"9","2025","Saltwater",0,4.9381,1.0947,1.1658
