"","plot_1","min_H2S_ppm","max_H2S_ppm","mean_H2S_ppm","sd_H2S_ppm"
"1","Control",0,1.3524,0.0842,0.2467
"2","Freshwater",0,2.7389,0.1123,0.4731
"3","Saltwater",0,4.9381,0.7199,1.0147
