"","Year","plot_1","min_H2S_ppm","max_H2S_ppm","mean_H2S_ppm","sd_H2S_ppm"
"1","2024","Freshwater",0,0,0,0
"2","2024","Saltwater",0,0,0,0
"3","2024","Estuary",0,0,0,0
