"Plot","Timepoint","Date","Start_time","End_time","Grid","DOC","Ions","Water_Isotopes","HR-MS","Saccharides","Amino_Acids","Pooled","CDOM_Subsample","Total_Volume","Evacuated_cb","Time_Notes","Notes"
"CONTROL","T4",2022-06-24,"12:00:00",NA,"C3",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"CONTROL","T4",2022-06-24,"12:00:00",NA,"C6",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"CONTROL","T4",2022-06-24,"12:00:00",NA,"F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CONTROL","T4",2022-06-24,"12:00:00",NA,"H3",10,NA,1.5,NA,NA,NA,12.5,NA,24,50,NA,NA
"CONTROL","T4",2022-06-24,"12:00:00",NA,"H6",10,NA,1.5,NA,NA,NA,25,NA,40,50,NA,NA
"CONTROL","T4",2022-06-24,"12:00:00",NA,"B4",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"CONTROL","T4",2022-06-24,"12:00:00",NA,"D5",10,NA,1.5,NA,NA,NA,25,NA,42,50,NA,NA
"CONTROL","T4",2022-06-24,"12:00:00",NA,"E3",7,NA,1.5,NA,NA,NA,1.5,NA,11,NA,NA,NA
"CONTROL","T4",2022-06-24,"12:00:00",NA,"F6",10,NA,1.5,NA,NA,NA,17.5,NA,29,50,NA,NA
"CONTROL","T4",2022-06-24,"12:00:00",NA,"I5",10,NA,1.5,NA,NA,NA,25,NA,42,48,NA,NA
"CONTROL","T2",2022-06-22,"16:34:00","17:40:00","C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA
"CONTROL","T2",2022-06-22,"16:34:00","17:40:00","C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA
"CONTROL","T2",2022-06-22,"16:34:00","17:40:00","F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA
