"Plot","Timepoint","Date","Start_time","End_time","Notes","B4","C3","C6","D5","E3","F4","F6","H3","H6","I5"
"CONTROL","T0",2022-06-20,"09:36:00","11:32:00","1mL- didn't keep",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"CONTROL","T0",2022-06-20,"09:36:00","11:32:00","1mL didn't keep",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CONTROL","T0",2022-06-20,"09:36:00","11:32:00",NA,0,0,NA,0,0,0,0,0,0,NA
"CONTROL","T1",2022-06-22,"12:45:00",NA,NA,0,0,0,0,0,0,0,0,0,0
"CONTROL","T2",2022-06-22,"16:34:00","17:40:00","9 mL kept for CDOM, additional 1 mL thrown out - no use for further pooling",NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"CONTROL","T2",2022-06-22,"16:34:00","17:40:00",NA,0,0,0,0,0,0,0,0,NA,0
"CONTROL","T3",2022-06-23,"09:38:00",NA,"dry",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"CONTROL","T3",2022-06-23,"09:38:00",NA,"got knocked or not sealed properly, no pressure built",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"CONTROL","T3",2022-06-23,"09:38:00",NA,"less than 0.5, discarded",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"CONTROL","T3",2022-06-23,"09:38:00",NA,"less than 1, discarded",NA,0,NA,NA,NA,NA,NA,0,NA,NA
"CONTROL","T3",2022-06-23,"09:38:00",NA,"lost a couple mLs of pooled samples",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CONTROL","T3",2022-06-23,"09:38:00",NA,NA,NA,NA,0,2,NA,NA,NA,NA,0,15
"CONTROL","T4",2022-06-24,"12:00:00",NA,NA,0,0,0,25,1.5,0,17.5,12.5,25,25
"FRESHWATER","T0",2022-06-20,"10:15:00",NA,"All subsample",0,NA,NA,0,0,NA,0,NA,NA,14.5
"FRESHWATER","T0",2022-06-20,"10:15:00",NA,"DOC+iso+pool",NA,1,0,NA,NA,0,NA,NA,6,NA
"FRESHWATER","T0",2022-06-20,"10:15:00",NA,"DOC+iso+pool, discarded 9mL",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"FRESHWATER","T1",2022-06-22,"12:45:00","14:45:00","General note: vibes- spicy",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"FRESHWATER","T1",2022-06-22,"12:45:00","14:45:00",NA,0,NA,12,25,0,0,7,25,0,25
"FRESHWATER","T2",2022-06-22,"16:14:00",NA,"General note: vibe- tired raccoon",NA,25,NA,NA,NA,NA,NA,NA,NA,NA
"FRESHWATER","T2",2022-06-22,"16:14:00",NA,NA,3.5,NA,6,25,10,2,22,0,0,25
"FRESHWATER","T3",2022-06-23,"9:38:00",NA,"General note: Vibes- wet AF aka drowned rat",NA,25,NA,NA,NA,NA,NA,NA,NA,NA
"FRESHWATER","T3",2022-06-23,"9:38:00",NA,NA,9,NA,0,25,19,4,6,0,25,25
"FRESHWATER","T4",2022-06-24,"12:16:00","13:36:00",NA,25,25,16,25,25,25,25,25,25,25
"SEAWATER","T0",2022-06-20,"10:15:00","12:20:00",NA,0,0,0,0,0,0,0,0,0,0
"SEAWATER","T1",2022-06-22,"12:47:00",NA,"1 rinse between lysimeters",24,4.5,1,NA,NA,1.5,NA,3,2,NA
"SEAWATER","T1",2022-06-22,"12:47:00",NA,"3 rinse between lysimeter",NA,NA,NA,1,19,NA,11.5,NA,NA,0.5
"SEAWATER","T2",2022-06-22,"16:14:00","17:49:00","General note: AMP sampled GW well at 17:17, 17:32 pumped GW well for 2 min, didn't empty",NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"SEAWATER","T2",2022-06-22,"16:14:00","17:49:00",NA,26,NA,0.5,8,33,0.5,5,1,6,25
"SEAWATER","T3",2022-06-23,"09:41:00","11:40:00","Dead frog near lysimeter",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"SEAWATER","T3",2022-06-23,"09:41:00","11:40:00","General note: raining relatively hard, but not pouring. Pools near many of the lysimeters but not as many or as large as during water treatment",NA,25,NA,NA,NA,NA,NA,NA,NA,NA
"SEAWATER","T3",2022-06-23,"09:41:00","11:40:00",NA,25,NA,NA,7,12,1,25,0.5,0.5,25
"SEAWATER","T4",2022-06-24,"12:15:00","13:57:00",NA,25,25,25,25,25,25,25,25,25,25
