"ID_full","H2S_mean","H2S_sd","H2S_cv","IDs","Plate","H2S_QAQC_flag","Dilution","Analysis_rundate","H2S_cv_flag","H2S_Conc_flag","Project","Zone","Source","Plot","Depth","Analyte","Date","Sample_ID"
"Plate10_1_47",0.204995473983802,0.0676128978036052,32.9826295623228,"47","Plate10","Spk recovery out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","D5","15cm","SO4",20250711,"TMP_SW_PW_D5_20250711_15CM"
"Plate11_1_76",2.64328193914651,0.40567738682163,15.3474883179741,"76","Plate11","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926","High CV","Within Range","TMP","FW","PW","C3","15cm","SO4",20250403,"TMP_FW_PW_C3_20250403_15CM"
"Plate11_1_83",2.73890101621172,0.811354773643261,29.6233696961228,"83","Plate11","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,"20250926","High CV","Within Range","TMP","FW","PW","H6","15cm","SO4",20250509,"TMP_FW_PW_H6_20250509_15CM"
"Plate12_1_109",1.35242439876625,0.202838693410816,14.9981539519588,"109","Plate12","Std curve r2 low; MC 10 out of range",1,"20250926","High CV","Within Range","TMP","C","PW","F4","15cm","SO4",20250204,"TMP_C_PW_F4_20250204_15CM"
"Plate13_1_131",0.0307834291929974,0.0435343430610888,141.42135623731,"131","Plate13","",1,"20250926","High CV","Within Range","TMP","C","PW","I5","15cm","SO4",20250602,"TMP_C_PW_I5_20250602_15CM"
"Plate13_1_133",0.444043166646813,0.405677386821631,91.3598986074033,"133","Plate13","",1,"20250926","High CV","Within Range","TMP","C","PW","H3","15cm","SO4",20250602,"TMP_C_PW_H3_20250602_15CM"
"Plate13_1_135",0.0307834291929974,0.0435343430610888,141.42135623731,"135","Plate13","",1,"20250926","High CV","Within Range","TMP","C","PW","H6","15cm","SO4",20250602,"TMP_C_PW_H6_20250602_15CM"
"Plate8_1_12",0.969948090505437,0.202838693410815,20.9123246281268,"12","Plate8","MC 10 out of range; Dup perc diff out of range; Spk recovery out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","D5","15cm","SO4",20250204,"TMP_SW_PW_D5_20250204_15CM"
"Plate8_1_13",0.58747178224462,0.0676128978036051,11.5091311356724,"13","Plate8","MC 10 out of range; Dup perc diff out of range; Spk recovery out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","H6","15cm","SO4",20250204,"TMP_SW_PW_H6_20250204_15CM"
"Plate8_1_17",0.300614551049006,0.0676128978036052,22.4915585648357,"17","Plate8","MC 10 out of range; Dup perc diff out of range; Spk recovery out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","E3","15cm","SO4",20250204,"TMP_SW_PW_E3_20250204_15CM"
"Plate8_1_18",1.44804347583146,0.202838693410816,14.0077764788344,"18","Plate8","MC 10 out of range; Dup perc diff out of range; Spk recovery out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","F6","15cm","SO4",20250204,"TMP_SW_PW_F6_20250204_15CM"
"Plate8_1_19",0.491852705179415,0.0676128978036052,13.746574348705,"19","Plate8","MC 10 out of range; Dup perc diff out of range; Spk recovery out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","I5","15cm","SO4",20250403,"TMP_SW_PW_I5_20250403_15CM"
"Plate8_1_23",0.204995473983802,0.0676128978036052,32.9826295623228,"23","Plate8","MC 10 out of range; Dup perc diff out of range; Spk recovery out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","D5","15cm","SO4",20250403,"TMP_SW_PW_D5_20250403_15CM"
"Plate9_1_30",1.35242439876625,0.202838693410816,14.9981539519588,"30","Plate9","Std curve r2 low; MC 10 out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","D5","15cm","SO4",20250509,"TMP_SW_PW_D5_20250509_15CM"
"Plate9_1_36",1.49585301436406,0.270451591214421,18.0800913336662,"36","Plate9","Std curve r2 low; MC 10 out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","F6","15cm","SO4",20250602,"TMP_SW_PW_F6_20250602_15CM"
"Plate9_1_40",1.87832932262488,0.270451591214421,14.3985182979775,"40","Plate9","Std curve r2 low; MC 10 out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","C3","15cm","SO4",20250602,"TMP_SW_PW_C3_20250602_15CM"
"Plate9_1_42",0.491852705179415,0.0676128978036052,13.746574348705,"42","Plate9","Std curve r2 low; MC 10 out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","D5","15cm","SO4",20250602,"TMP_SW_PW_D5_20250602_15CM"
"Plate9_1_43",0.491852705179415,0.0676128978036052,13.746574348705,"43","Plate9","Std curve r2 low; MC 10 out of range",1,"20250925","High CV","Within Range","TMP","SW","PW","H6","15cm","SO4",20250602,"TMP_SW_PW_H6_20250602_15CM"
