"Project","Site","plot","grid","Depth_cm","Analyte","Sample_ID","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL"
"COMPASS","TEMPEST","FW","B4","15cm","DOC","TMP_FW_B4_20230202_15cm",11.29,940.833333333333,NA,0.49,35,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230130,"20230202",1430,2030,"EST",10
"COMPASS","TEMPEST","FW","D5","15cm","DOC","TMP_FW_D5_20230202_15cm",10.41,867.5,NA,0.35,25,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230130,"20230202",1430,2030,"EST",10
"COMPASS","TEMPEST","FW","F6","15cm","DOC","TMP_FW_F6_20230202_15cm",13.77,1147.5,NA,0.64,45.7142857142857,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230130,"20230202",1430,2030,"EST",8.5
"COMPASS","TEMPEST","FW","I5","15cm","DOC","TMP_FW_I5_20230202_15cm",13.09,1090.83333333333,NA,0.58,41.4285714285714,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211",NA,20230130,"20230202",1430,2030,"EST",10
"COMPASS","TEMPEST","SW","C3","15cm","DOC","TMP_SW_C3_20230202_15cm",45.24,3770,NA,1.47,105,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211","yellow",20230130,"20230202",1130,1730,"EST",10
"COMPASS","TEMPEST","SW","C6","15cm","DOC","TMP_SW_C6_20230202_15cm",39.86,3321.66666666667,NA,1.82,130,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211","yellow",20230130,"20230202",1130,1730,"EST",10.5
"COMPASS","TEMPEST","SW","F4","15cm","DOC","TMP_SW_F4_20230202_15cm",20.21,1684.16666666667,NA,1.72,122.857142857143,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211","slightly colored",20230130,"20230202",1130,1730,"EST",8
"COMPASS","TEMPEST","SW","H6","15cm","DOC","TMP_SW_H6_20230202_15cm",19.65,1637.5,NA,0.76,54.2857142857143,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211","slightly colored",20230130,"20230202",1130,1730,"EST",9
"COMPASS","TEMPEST","SW","B4","15cm","DOC","TMP_SW_B4_20230202_15cm",42.47,3539.16666666667,NA,1.11,79.2857142857143,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211","yellow",20230130,"20230202",1130,1730,"EST",10
"COMPASS","TEMPEST","SW","D5","15cm","DOC","TMP_SW_D5_20230202_15cm",52.63,4385.83333333333,NA,1.54,110,NA,"NA","Some sample IDs are missing from metadata.
TMP_SW_F6_20230417, TMP_SW_D5_20230417, TMP_SW_E3_20230417, TMP_SW_H6_20230417, TMP_FW_D5_20230605, TMP_SW_H6_20230612, TMP_C_C3_20230628, TMP_SW_I5_20230807, TMP_C_H6_20230810, TMP_SW_C6_20230810, TMP_SW_H3_20230810, TMP_SW_E3_20230810, TMP_C_I5_20231005, TMP_SW_C6_20231211","yellow",20230130,"20230202",1130,1730,"EST",10
