"","ID_full","IDs","FE_2_mean","FE_2_sd","FE_2_cv","FE_3_mean","FE_3_sd","FE_3_cv","FE_tot_mean","FE_tot_sd","FE_2_flag","FE_3_flag","Dilution","Plate","QAQC_flag","FE_2_cv_flag","FE_3_cv_flag"
"1","Plate1_1_FW_F6_20250131 spk ","FW_F6_20250131 spk ",17.4522997945761,0,0,54.6027910525737,34.8137785228569,63.7582399209902,72.0550908471498,34.8137785228569,"Within range","Within range",1,"Plate1","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range","ok","High cv rerun"
"2","Plate2_1_C_B4_20250602","C_B4_20250602",12.3050540912789,1.25505253146025,10.1994881302452,0,0,0,12.3050540912789,1.1202912708132,"Within range","Below MDL",1,"Plate2","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low","High cv rerun","ok"
"3","Plate2_1_C_C6_20250602 spk","C_C6_20250602 spk",25.9718788896886,2.15927402056927,8.31389222836144,22.3590229337849,6.13637117299235,27.4447197051718,48.3309018234735,6.3098593639875,"Within range","Within range",1,"Plate2","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low","ok","High cv rerun"
"4","Plate2_1_C_D5_20250602","C_D5_20250602",6.98031715683362,1.25505253146025,17.9798783244623,0,0,0,6.98031715683362,1.1202912708132,"Within range","Below MDL",1,"Plate2","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low","High cv rerun","ok"
"5","Plate2_1_FW_C6_20250711","FW_C6_20250711",3.07551007157372,0.251010506292051,8.16158947460738,1.06441058944074,1.22986950177425,115.544651093752,4.13992066101446,1.32800206991047,"Within range","Within range",1,"Plate2","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low","ok","High cv rerun"
"6","Plate2_1_SW_B4_20250602","SW_B4_20250602",37.5088089143201,3.76515759438075,10.03806226687,6.04424069652887,0.0835780082848449,1.38277101262434,43.553049610849,1.94220052462397,"Within range","Within range",1,"Plate2","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low","High cv rerun","ok"
"7","Plate2_1_SW_C3_20250602","SW_C3_20250602",67.0006754263301,20.8739255787411,31.1547987328768,0,0,0,67.0006754263301,4.56879913968005,"Within range","Below MDL",1,"Plate2","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low","High cv rerun","ok"
"8","Plate2_1_SW_E3_20250602","SW_E3_20250602",24.0194753470587,0.753031518876153,3.13508729060715,10.298915559825,10.0700796895996,97.778058583973,34.3183909068836,10.1074000847776,"Within range","Within range",1,"Plate2","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low","ok","High cv rerun"
"9","Plate1_1_SW_C3_20250403","SW_C3_20250403",124.433456324671,15.1713583472752,12.1923466528891,0,0,0,124.433456324671,3.89504279145623,"Within range","Below MDL",1,"Plate1","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range","High cv rerun","ok"
"10","Plate3_1_SW_F6_20250926","SW_F6_20250926",122.049507354189,14.4970757540629,11.8780288985455,0,0,0,122.049507354189,3.80750256126807,"Within range","Below MDL",1,"Plate3","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range","High cv rerun","ok"
