"","plot_1","min_NOx_mgL","max_NOx_mgL","mean_NOx_mgL","sd_NOx_mgL","min_NH3_mgL","max_NH3_mgL","mean_NH3_mgL","sd_NH3_mgL","min_PO4_mgL","max_PO4_mgL","mean_PO4_mgL","sd_PO4_mgL"
"1","Control",0,0.139916,0.0139160967741935,0.0198042689376411,-0.046479,0.938518,0.0764585151515152,0.169336395028925,0.001983,0.074597,0.00979739393939394,0.0110681029030812
"2","Freshwater",-0.005152,0.187981,0.0176697294117647,0.0241226606395048,-0.047481,1.547253,0.0419696341463415,0.142887293234012,0.000612,0.050299,0.00633099390243902,0.00571762991300141
"3","Saltwater",0,0.49829,0.0245542738853503,0.0565539312112229,-0.039194,0.626225,0.0667008516129032,0.111698789285768,0.000997,0.073587,0.0113253483870968,0.0117520289956331
"4",NA,0,3.846702,0.1225262,0.553126292271743,0.003196,0.26407,0.06265592,0.0573783530485574,0.000283,0.070727,0.01534718,0.0150879501409812
