"Project","Region","Sample_ID","Sample_Year","Sample_Month","Sample_Day","Site","Event","Plot","Location","Depth_cm","Timepoint","Sample_Type","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Notes","integration_time_s","dilution_factor","RSU_area_1s","abs_file_id","eem_file_id"
"COMPASS","CB","TMP_SOURCE_ESTUARY_20240611_PM",2024,6,11,"TMP","TMP-III","ESTUARY",NA,NA,"PM","SOURCE",NA,20240611,NA,1630,"EDT","low tide",2,1,3051,"TMP_SOURCE_ESTUARY_20240611_PM_ABS_DilCorr.csv","TMP_SOURCE_ESTUARY_20240611_PM_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_SOURCE_ESTUARY_20240611_AM",2024,6,11,"TMP","TMP-III","ESTUARY",NA,NA,"AM","SOURCE",NA,20240611,NA,940,"EDT","high tide",2,1,3051,"TMP_SOURCE_ESTUARY_20240611_AM_ABS_DilCorr.csv","TMP_SOURCE_ESTUARY_20240611_AM_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_SOURCE_SW_20240611_AM",2024,6,11,"TMP","TMP-III","S",NA,NA,"AM","SOURCE",NA,20240611,NA,847,"EDT",NA,2,1,3051,"TMP_SOURCE_SW_20240611_AM_ABS_DilCorr.csv","TMP_SOURCE_SW_20240611_AM_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_SOURCE_SW_20240611_MID",2024,6,11,"TMP","TMP-III","S",NA,NA,"MID","SOURCE",NA,20240611,NA,1247,"EDT",NA,2,1,3051,"TMP_SOURCE_SW_20240611_MID_ABS_DilCorr.csv","TMP_SOURCE_SW_20240611_MID_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_SOURCE_SW_20240611_PM",2024,6,11,"TMP","TMP-III","S",NA,NA,"PM","SOURCE",NA,20240611,NA,1550,"EDT",NA,2,1,3051,"TMP_SOURCE_SW_20240611_PM_ABS_DilCorr.csv","TMP_SOURCE_SW_20240611_PM_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_SW_B4_15CM_20240611_T1",2024,6,11,"TMP","TMP-III","S","B4","15","T1","PW",20240610,20240611,1305,1400,"EDT",NA,4,0.266666666666667,3051,"TMP_PW_SW_B4_15CM_20240611_T1_ABS_DilCorr.csv","TMP_PW_SW_B4_15CM_20240611_T1_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_SOURCE_FW_20240611_AM",2024,6,11,"TMP","TMP-III","F",NA,NA,"AM","SOURCE",NA,20240611,NA,834,"EDT",NA,4,1,3051,"TMP_SOURCE_FW_20240611_AM_ABS_DilCorr.csv","TMP_SOURCE_FW_20240611_AM_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_SOURCE_FW_20240611_MID",2024,6,11,"TMP","TMP-III","F",NA,NA,"MID","SOURCE",NA,20240611,NA,1232,"EDT",NA,4,1,3051,"TMP_SOURCE_FW_20240611_MID_ABS_DilCorr.csv","TMP_SOURCE_FW_20240611_MID_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_SOURCE_FW_20240611_PM",2024,6,11,"TMP","TMP-III","F",NA,NA,"PM","SOURCE",NA,20240611,NA,1550,"EDT",NA,4,1,3051,"TMP_SOURCE_FW_20240611_PM_ABS_DilCorr.csv","TMP_SOURCE_FW_20240611_PM_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_FW_C3_15CM_20240611_T1",2024,6,11,"TMP","TMP-III","F","C3","15","T1","PW",20240610,20240611,1409,1417,"EDT",NA,2,1,3051,"TMP_PW_FW_C3_15CM_20240611_T1_ABS_DilCorr.csv","TMP_PW_FW_C3_15CM_20240611_T1_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_FW_C6_15CM_20240611_T1",2024,6,11,"TMP","TMP-III","F","C6","15","T1","PW",20240610,20240611,1349,1400,"EDT",NA,2,1,3051,"TMP_PW_FW_C6_15CM_20240611_T1_ABS_DilCorr.csv","TMP_PW_FW_C6_15CM_20240611_T1_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_FW_D5_15CM_20240611_T1",2024,6,11,"TMP","TMP-III","F","D5","15","T1","PW",20240610,20240611,1403,1330,"EDT",NA,2,1,3051,"TMP_PW_FW_D5_15CM_20240611_T1_ABS_DilCorr.csv","TMP_PW_FW_D5_15CM_20240611_T1_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_FW_F4_15CM_20240611_T1",2024,6,11,"TMP","TMP-III","F","F4","15","T1","PW",20240610,20240611,1419,1343,"EDT",NA,1,1,3051,"TMP_PW_FW_F4_15CM_20240611_T1_ABS_DilCorr.csv","TMP_PW_FW_F4_15CM_20240611_T1_EEM_DilCorr_IFE_RamNorm.csv"
"COMPASS","CB","TMP_PW_FW_I5_15CM_20240611_T1",2024,6,11,"TMP","TMP-III","F","I5","15","T1","PW",20240610,20240611,1445,1307,"EDT",NA,1,1,3051,"TMP_PW_FW_I5_15CM_20240611_T1_ABS_DilCorr.csv","TMP_PW_FW_I5_15CM_20240611_T1_EEM_DilCorr_IFE_RamNorm.csv"
