"","Project","Sample_ID","Volume_mL","Collection_Date_YYYYMMDD","Evacuation_date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","H2S_Conc_uM","H2S_Conc_sd","H2S_cv","H2S_Conc_flag","H2S_cv_flag","H2S_QAQC_flag","Dilution","Analysis_rundate","Field_notes","Run_notes"
"1","TEMPEST","TMP_C_PW_C6_50cm_SO4_20260618",5,20260618,20260618,1313,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"2","TEMPEST","TMP_FW_PW_H6_50cm_SO4_20260618",5,20260618,20260618,845,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"3","TEMPEST","TMP_SW_PW_C6_30cm_SO4_20260618",5,20260618,20260618,1144,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"4","TEMPEST","TMP_FW_PW_F4_50cm_SO4_20260618",5,20260618,20260618,907,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"5","TEMPEST","TMP_FW_PW_C6_30cm_SO4_20260618",5,20260618,20260618,947,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"6","TEMPEST","TMP_SW_PW_C3_30cm_SO4_20260618",5,20260618,20260618,1120,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"7","TEMPEST","TMP_FW_PW_E3_15cm_SO4_20260618",5,20260618,20260618,922,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"8","TEMPEST","TMP_FW_PW_C3_30cm_SO4_20260618",5,20260618,20260618,929,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,"Smells like decay, cloudy","All dups and related samples had values of 0. 3/3 spikes were bad. "
"9","TEMPEST","TMP_SW_PW_H3_30cm_SO4_20260618",5,20260618,20260618,1039,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
"10","TEMPEST","TMP_FW_PW_C6_15cm_SO4_20260618",5,20260618,20260618,944,NA,"EDT",0,0,0,"bdl","CV_Good","Spk_Bad,Slope_Bad",1,2026-08-27,NA,"All dups and related samples had values of 0. 3/3 spikes were bad. "
