"","Sample_ID","Site","Plot","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Deployment_Date","Deployment_Time_24hrs","Collection_Time_24hrs","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes"
"25","TMP_SW_B4_20240805_15cm","TEMPEST","SW","B4","15",NA,NA,"PW",8,"20240805",20240802,1136,1044,NA,NA,NA,0.007908,0.564586947675041,"bdl","",0.021695,1.54890159709282,"Within_Range","",0.007304,0.235812491876189,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"26","TMP_SW_B4_20241213_15cm","TEMPEST","SW","B4","15",NA,NA,"PW",8,"20241213",20241210,1223,1357,NA,NA,NA,0,0,"bdl","",0.012485,0.891359135270977,"bdl","",0.004622,0.149223074678497,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","Clear"
"27","TMP_SW_C3_20240802_15cm","TEMPEST","SW","C3","15",NA,NA,"PW",8,"20240802",20240730,827,1122,NA,NA,NA,0.012276,0.876437704812697,"bdl","",0.104413,7.45450391598307,"Within_Range","",0.00222,0.0716735668079325,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"28","TMP_SW_C3_20240805_15cm","TEMPEST","SW","C3","15",NA,NA,"PW",8,"20240805",20240802,1122,1053,NA,NA,NA,0.007252,0.517752218581108,"bdl","",0.005291,0.377747792128053,"bdl","",0.00173,0.0558537254854609,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"29","TMP_SW_C3_20240906_15cm","TEMPEST","SW","C3","15",NA,NA,"PW",8,"20240906",20240903,900,1115,NA,NA,NA,0.008061,0.575510291503352,"bdl","",0.019429,1.38712187738725,"bdl","",0.001864,0.0601799678063001,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"30","TMP_SW_C3_20241003_15cm","TEMPEST","SW","C3","15",NA,NA,"PW",8,"20241003",20240930,945,1402,NA,NA,NA,NA,NA,NA,NA,0.00605,0.431936144844967,"bdl","",0.002463,0.0795189166882602,"bdl","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"31","TMP_SW_C3_20241213_15cm","TEMPEST","SW","C3","15",NA,NA,"PW",8,"20241213",20241210,1225,1346,NA,NA,NA,0,0,"bdl","",0.006602,0.471345855911814,"bdl","",0.001501,0.0484603710714895,"bdl","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","Clear"
"32","TMP_SW_C6_20240812_15cm","TEMPEST","SW","C6","15",NA,NA,"PW",8,"20240812",20240808,900,1015,NA,NA,NA,0.036574,2.61117893579501,"Within_Range","",0.58798,41.9784817266023,"Within_Range","",0.002983,0.0963073197243525,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"33","TMP_SW_C6_20241007_15cm","TEMPEST","SW","C6","15",NA,NA,"PW",8,"20241007",20241003,1233,1031,NA,NA,NA,0.026563,1.89644955628378,"Within_Range","",0.496917,35.4770931054424,"Within_Range","",0.012434,0.40143654490533,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
"34","TMP_SW_D5_20240802_15cm","TEMPEST","SW","D5","15",NA,NA,"PW",8,"20240802",20240730,834,1143,NA,NA,NA,0.024605,1.75665931304304,"bdl","",0.096192,6.86757051982266,"Within_Range","",0.002736,0.0883328282822087,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","clear"
