"","Project","Year","Month","Day","Zone","Grid","pH","collection_temp_C","Collection_Date_Time","Evacuation_Date","qaqc_flag"
"58","TEMPEST","2023","06","07","Saltwater","E3",4.6,22.1,2023-06-07 21:03:00,"2023-06-07",NA
"59","TEMPEST","2023","06","07","Saltwater","E3",4.6,22.1,2023-06-07 21:03:00,"2023-06-06",NA
"60","TEMPEST","2023","06","08","Freshwater","C3",5.68,19.8,2023-06-08 20:13:00,"2023-06-07",NA
"61","TEMPEST","2023","06","08","Freshwater","F4",6,20,2023-06-08 20:32:00,"2023-06-07",NA
"62","TEMPEST","2023","06","08","Freshwater","H6",6.23,20.8,2023-06-08 19:43:00,"2023-06-07",NA
"63","TEMPEST","2023","06","08","Freshwater","D5",5.61,19.3,2023-06-08 19:55:00,"2023-06-07",NA
"64","TEMPEST","2023","06","08","Freshwater","E3",5.82,20.8,2023-06-08 20:24:00,"2023-06-07",NA
"65","TEMPEST","2023","06","08","Freshwater","I5",6.05,21.3,2023-06-08 19:28:00,"2023-06-07",NA
"66","TEMPEST","2023","06","08","Saltwater","C3",4.53,21,2023-06-08 18:05:00,"2023-06-07",NA
"67","TEMPEST","2023","06","08","Saltwater","B4",5.11,21.6,2023-06-08 18:15:00,"2023-06-07",NA
"68","TEMPEST","2023","06","08","Saltwater","D5",4.62,21.8,2023-06-08 18:35:00,"2023-06-07",NA
"69","TEMPEST","2023","06","08","Saltwater","E3",4.91,20.6,2023-06-08 17:30:00,"2023-06-07",NA
"70","TEMPEST","2023","06","08","Saltwater","F6",5.11,21.8,2023-06-08 17:19:00,"2023-06-07",NA
"71","TEMPEST","2023","06","12","Freshwater","D5",5.97,22.8,2023-06-12 13:44:00,"2023-06-08",NA
"72","TEMPEST","2023","06","12","Freshwater","I5",6.56,21.9,2023-06-12 14:09:00,"2023-06-08",NA
"73","TEMPEST","2023","06","12","Saltwater","B4",5.42,23,2023-06-12 13:35:00,"2023-06-08",NA
"74","TEMPEST","2023","06","14","Control","H3",6.58,20.9,2023-06-14 15:00:00,"2023-06-12",NA
"75","TEMPEST","2023","06","14","Control","F6",6.11,20.4,2023-06-14 15:40:00,"2023-06-12",NA
"76","TEMPEST","2023","06","14","Control","I5",6.15,20.6,2023-06-14 15:27:00,"2023-06-12",NA
"77","TEMPEST","2023","06","14","Freshwater","C3",6.45,21.1,2023-06-14 19:02:00,"2023-06-12",NA
"78","TEMPEST","2023","06","14","Freshwater","B4",6.29,21.6,2023-06-14 18:58:00,"2023-06-12",NA
"79","TEMPEST","2023","06","14","Freshwater","D5",6.3,21.3,2023-06-14 19:13:00,"2023-06-12",NA
"80","TEMPEST","2023","06","14","Freshwater","I5",6.75,21.2,2023-06-14 19:36:00,"2023-06-12",NA
"81","TEMPEST","2023","06","14","Saltwater","C3",4.78,19.3,2023-06-14 16:01:00,"2023-06-12",NA
"82","TEMPEST","2023","06","14","Saltwater","F4",6.1,20.7,2023-06-14 16:52:00,"2023-06-12",NA
"83","TEMPEST","2023","06","14","Saltwater","B4",5.32,20.5,2023-06-14 16:14:00,"2023-06-12",NA
"84","TEMPEST","2023","06","14","Saltwater","D5",5.08,20.9,2023-06-14 16:28:00,"2023-06-12",NA
"85","TEMPEST","2023","06","14","Saltwater","E3",5.4,19.9,2023-06-14 16:57:00,"2023-06-12",NA
"86","TEMPEST","2023","06","14","Saltwater","F6",5.39,19.9,2023-06-14 16:42:00,"2023-06-12",NA
"87","TEMPEST","2023","06","17","Control","H6",6.99,25.3,2023-06-17 14:20:00,"2023-06-14",NA
"88","TEMPEST","2023","06","17","Freshwater","C3",6.68,23.2,2023-06-17 15:56:00,"2023-06-14",NA
"89","TEMPEST","2023","06","17","Freshwater","H6",6.9,23.3,2023-06-17 16:34:00,"2023-06-14",NA
"90","TEMPEST","2023","06","17","Freshwater","I5",6.89,23.4,2023-06-17 16:25:00,"2023-06-14",NA
"91","TEMPEST","2023","06","17","Saltwater","C3",4.77,24.5,2023-06-17 14:48:00,"2023-06-14",NA
"92","TEMPEST","2023","06","17","Saltwater","B4",5.33,25.9,2023-06-17 15:33:00,"2023-06-14",NA
"93","TEMPEST","2023","06","17","Saltwater","D5",5.26,21.2,2023-06-17 15:22:00,"2023-06-14",NA
"94","TEMPEST","2023","06","17","Saltwater","E3",5.11,24.2,2023-06-17 14:57:00,"2023-06-14",NA
"95","TEMPEST","2023","06","27","Freshwater","C3",6.47,23.7,2023-06-27 16:11:00,"2023-06-23",NA
"96","TEMPEST","2023","06","27","Freshwater","F4",6.55,23.5,2023-06-27 15:17:00,"2023-06-23",NA
"97","TEMPEST","2023","06","27","Freshwater","H3",6.61,23.3,2023-06-27 15:08:00,"2023-06-23",NA
"98","TEMPEST","2023","06","27","Freshwater","H6",6.9,25,2023-06-27 14:46:00,"2023-06-23",NA
"99","TEMPEST","2023","06","27","Freshwater","B4",6.35,24.1,2023-06-27 16:02:00,"2023-06-23",NA
"100","TEMPEST","2023","06","27","Freshwater","D5",6.27,23.8,2023-06-27 15:49:00,"2023-06-23",NA
"101","TEMPEST","2023","06","27","Freshwater","E3",6.44,23.6,2023-06-27 15:30:00,"2023-06-23",NA
"102","TEMPEST","2023","06","27","Freshwater","F6",6.47,23.9,2023-06-27 15:40:00,"2023-06-23",NA
"103","TEMPEST","2023","06","27","Freshwater","I5",6.92,23.6,2023-06-27 14:54:00,"2023-06-23",NA
"104","TEMPEST","2023","06","27","Saltwater","C3",5.15,24.7,2023-06-27 18:42:00,"2023-06-23",NA
