"","Zone_1","min_pH","max_pH","mean_pH","sd_pH"
"1","Control",5.15,8.76,6.405,0.6691
"2","Freshwater",5.03,7.95,6.3111,0.527
"3","Saltwater",3.94,8.11,5.7443,0.8591
