"","Year","Zone_1","min_pH","max_pH","mean_pH","sd_pH"
"1","2023","Control",5.39,8.76,6.7678,0.6804
"2","2023","Freshwater",5.03,7.95,6.3405,0.6649
"3","2023","Saltwater",3.94,8.11,5.5886,1.05
"4","2024","Control",5.76,7.11,6.3838,0.4314
"5","2024","Freshwater",5.27,60.5,6.843,5.6738
"6","2024","Saltwater",4.13,7.46,5.5557,0.7159
"7","2025","Control",5.15,6.89,5.9994,0.4712
"8","2025","Freshwater",5.63,7.21,6.3802,0.367
"9","2025","Saltwater",5.22,7.29,6.3652,0.3984
