"Wavelength..nm.","Dilution.Corrected.Absorbance"
230,0.4741457
233,0.4526407
236,0.4342721
239,0.4170094
242,0.4024304
245,0.3877847
248,0.3749094
251,0.3617771
254,0.3502092
257,0.338486
260,0.3274432
263,0.3163056
266,0.3051094
269,0.2943651
272,0.2833116
275,0.2726517
278,0.2619101
281,0.2506471
284,0.2395991
287,0.2280321
290,0.2175854
293,0.2090996
296,0.1998499
299,0.1907147
302,0.1818263
305,0.1732452
308,0.1653162
311,0.1578
314,0.1502832
317,0.1432426
320,0.1363036
323,0.12945
326,0.1228943
329,0.1167772
332,0.1108515
335,0.1053553
338,0.1000807
341,0.09492577
344,0.09014915
347,0.0855494
350,0.08125975
353,0.07698093
356,0.07287892
359,0.06914606
362,0.06541891
365,0.06187942
368,0.05854387
371,0.05529725
374,0.05212132
377,0.04924167
380,0.0465654
383,0.04405942
386,0.04159914
389,0.03915989
392,0.03693855
395,0.03481392
398,0.03293312
401,0.03108722
404,0.02940143
407,0.02771264
410,0.02611166
413,0.02460106
416,0.02319832
419,0.02191649
422,0.02069396
425,0.01947448
428,0.01840217
431,0.01729989
434,0.01625221
437,0.01531097
440,0.01444176
443,0.01370373
446,0.01297443
449,0.01233737
452,0.01174951
455,0.01114586
458,0.01063471
461,0.01010659
464,0.009608221
467,0.009142153
470,0.008712256
473,0.008284266
476,0.007879539
479,0.00743069
482,0.007043925
485,0.006745633
488,0.0063987
491,0.006112493
494,0.005862273
497,0.005561129
500,0.005288778
503,0.005053433
506,0.004809777
509,0.004582166
512,0.004364965
515,0.004127368
518,0.003927278
521,0.003733829
524,0.00352735
527,0.00336903
530,0.003179452
533,0.003004243
536,0.002851526
539,0.00270994
542,0.002555856
545,0.002447731
548,0.002288678
551,0.002323218
554,0.002118076
557,0.002012356
560,0.001898766
563,0.001828748
566,0.001717021
569,0.001639616
572,0.001556021
575,0.001509031
578,0.00149251
581,0.001495798
584,0.001390033
587,0.001410373
590,0.001495932
593,0.001475987
596,0.001557973
599,0.001609805
602,0.001607492
605,0.001685899
608,0.001698366
611,0.001644076
614,0.001671937
617,0.001638615
620,0.001599415
623,0.001593792
626,0.001557486
629,0.001480823
632,0.001466191
635,0.001364456
638,0.001298975
641,0.001274901
644,0.001113474
647,0.001011704
650,0.0009865584
653,0.0008775561
656,0.0007817459
659,0.0007378711
662,0.0005420535
665,0.0004724053
668,0.0004273297
671,0.000237996
674,0.0002367314
677,0.0001627512
680,3.004064e-05
683,6.775961e-06
686,-1.373185e-05
689,-0.0001053282
692,-0.0001040346
695,-0.0002047213
698,-0.0002480916
701,-0.0002244857
704,-0.0002159214
707,-0.0002498034
710,-0.0001957999
713,-0.0002338902
716,-0.0002153564
719,-0.0001946452
722,-0.0002093604
725,-0.0002121039
728,-0.0001876243
731,-0.0001749112
734,-0.0001054514
737,-0.0001045605
740,-0.0001524076
743,-0.0001547526
746,-0.0001640901
749,-0.0001951409
752,-0.0002100218
755,-0.0002246509
758,-0.0003004257
761,-0.0002583517
764,-0.0002790477
767,-0.0003242072
770,-0.0003268245
773,-0.0003491184
776,-0.0003085026
779,-0.0002177803
782,-0.0003337904
785,-0.0003259315
788,-0.0002522099
791,-0.0004867263
794,-0.0003858469
797,-0.0003585507
800,-0.0003749174
