"Wavelength..nm.","Dilution.Corrected.Absorbance"
230,0.175361
233,0.1701107
236,0.1626871
239,0.1563452
242,0.1508114
245,0.1457422
248,0.1411787
251,0.1366211
254,0.1327093
257,0.1285067
260,0.1245914
263,0.1204027
266,0.1163334
269,0.1123653
272,0.1082908
275,0.104421
278,0.1007071
281,0.09675516
284,0.09182579
287,0.08961259
290,0.08631255
293,0.08320901
296,0.08008385
299,0.07690353
302,0.07384785
305,0.07076221
308,0.06787008
311,0.0650026
314,0.06201909
317,0.05918565
320,0.05642087
323,0.05343938
326,0.0505463
329,0.04782841
332,0.04518803
335,0.04269963
338,0.04034828
341,0.03804979
344,0.03587946
347,0.03391366
350,0.03205605
353,0.03028521
356,0.0286058
359,0.02714121
362,0.02565832
365,0.02429716
368,0.02301699
371,0.02178497
374,0.02061059
377,0.01953293
380,0.01853314
383,0.01761061
386,0.01670698
389,0.01579402
392,0.01498275
395,0.01416068
398,0.013497
401,0.01282622
404,0.01216179
407,0.011567
410,0.01097319
413,0.01038906
416,0.00982993
419,0.0093777
422,0.008895497
425,0.008549678
428,0.008149927
431,0.007759194
434,0.007436046
437,0.007132013
440,0.006787654
443,0.006473461
446,0.006174694
449,0.005903173
452,0.005660305
455,0.005433985
458,0.0052596
461,0.00512859
464,0.004971029
467,0.00476719
470,0.004631175
473,0.004470921
476,0.004268492
479,0.004208197
482,0.004018711
485,0.003894338
488,0.003748809
491,0.003605497
494,0.003498594
497,0.003371554
500,0.003258777
503,0.003105815
506,0.003048663
509,0.002948299
512,0.002913616
515,0.002815755
518,0.002744191
521,0.002617634
524,0.002568119
527,0.0025419
530,0.002456809
533,0.002390757
536,0.002337168
539,0.002281992
542,0.002221365
545,0.002131527
548,0.00209721
551,0.002072972
554,0.002016007
557,0.001983462
560,0.00190963
563,0.001840661
566,0.001854383
569,0.001822252
572,0.001789845
575,0.00175905
578,0.001717687
581,0.001732484
584,0.001687054
587,0.001634623
590,0.00158097
593,0.001582039
596,0.001576361
599,0.00158
602,0.001584696
605,0.001590408
608,0.001651401
611,0.001592099
614,0.001548411
617,0.001536332
620,0.001490569
623,0.001444403
626,0.001385817
629,0.001303624
632,0.001342052
635,0.001304919
638,0.00134339
641,0.001310724
644,0.001215392
647,0.001239373
650,0.001207536
653,0.001235031
656,0.001201649
659,0.00115079
662,0.001187466
665,0.001137354
668,0.001109635
671,0.001076453
674,0.001110342
677,0.001143218
680,0.001051008
683,0.001064025
686,0.001056922
689,0.0009944943
692,0.001003494
695,0.0009959485
698,0.0009916829
701,0.0008949508
704,0.0008871287
707,0.001031637
710,0.001018981
713,0.0009792214
716,0.0008945477
719,0.0008493925
722,0.0008840998
725,0.0009159438
728,0.0009455522
731,0.001066566
734,0.001095776
737,0.00113871
740,0.001158579
743,0.001075475
746,0.001056087
749,0.001098165
752,0.001092956
755,0.001036105
758,0.001023019
761,0.001004104
764,0.001000947
767,0.0009621458
770,0.001071805
773,0.001058545
776,0.001042254
779,0.00103862
782,0.001017826
785,0.0008686489
788,0.0008060965
791,0.0008369461
794,0.0008589878
797,0.0008193562
800,0.0008300844
