"Wavelength..nm.","Dilution.Corrected.Absorbance"
230,0.08796643
233,0.08381162
236,0.07989756
239,0.07643383
242,0.07321895
245,0.07042529
248,0.06792232
251,0.06555574
254,0.06339911
257,0.06127853
260,0.05929148
263,0.05716156
266,0.05503436
269,0.05294822
272,0.05074479
275,0.04865522
278,0.04653264
281,0.04438153
284,0.04116724
287,0.04037853
290,0.03852137
293,0.03680265
296,0.03507864
299,0.03337978
302,0.03173618
305,0.03015304
308,0.02868241
311,0.02728255
314,0.02591827
317,0.02461037
320,0.02337125
323,0.02215841
326,0.02105349
329,0.02002574
332,0.01905762
335,0.01817304
338,0.01728235
341,0.01642602
344,0.01561536
347,0.01482228
350,0.01409351
353,0.01338195
356,0.01267382
359,0.01204298
362,0.01144018
365,0.01089513
368,0.01033533
371,0.009836923
374,0.009322739
377,0.008858251
380,0.008450457
383,0.008053079
386,0.007664644
389,0.007297797
392,0.00688049
395,0.006529741
398,0.006211427
401,0.005913033
404,0.005643323
407,0.00542823
410,0.005245501
413,0.005038293
416,0.004812746
419,0.004665609
422,0.004474626
425,0.004342756
428,0.004212565
431,0.004029062
434,0.003842482
437,0.003714123
440,0.003573306
443,0.003461206
446,0.003399273
449,0.003342567
452,0.003295313
455,0.003210792
458,0.003008677
461,0.00294457
464,0.002911561
467,0.002869733
470,0.002759619
473,0.002760976
476,0.002698643
479,0.002659661
482,0.002532284
485,0.002490788
488,0.002438341
491,0.002419571
494,0.002361593
497,0.002310561
500,0.002254814
503,0.002233999
506,0.002172718
509,0.002140911
512,0.002098252
515,0.002102418
518,0.002070786
521,0.00200347
524,0.001962853
527,0.001934415
530,0.001920597
533,0.001876054
536,0.00184252
539,0.001807528
542,0.001782557
545,0.001766612
548,0.001726233
551,0.001737222
554,0.001690857
557,0.0016643
560,0.001641418
563,0.001594786
566,0.00163329
569,0.001604553
572,0.00158963
575,0.001589095
578,0.001617838
581,0.001581419
584,0.001580772
587,0.001562035
590,0.001588191
593,0.001577036
596,0.001538208
599,0.0015006
602,0.001548199
605,0.001547253
608,0.001526171
611,0.001509918
614,0.00147674
617,0.001502321
620,0.001458321
623,0.001485237
626,0.001475549
629,0.00147343
632,0.001475957
635,0.001390399
638,0.00139933
641,0.001299642
644,0.001353255
647,0.001302615
650,0.001314683
653,0.001289218
656,0.001265584
659,0.001235078
662,0.001304953
665,0.001330151
668,0.001251844
671,0.001292837
674,0.001247407
677,0.001258601
680,0.001226847
683,0.001208346
686,0.001147002
689,0.001192919
692,0.001103149
695,0.001185326
698,0.001091882
701,0.001036679
704,0.001051758
707,0.001113655
710,0.001180473
713,0.001170658
716,0.001167094
719,0.001156034
722,0.001079182
725,0.001067889
728,0.001082268
731,0.001140262
734,0.001178983
737,0.001169689
740,0.001251496
743,0.001164375
746,0.001030717
749,0.0009591339
752,0.0009917281
755,0.0009057392
758,0.0008910423
761,0.001050753
764,0.001139397
767,0.001061066
770,0.001139023
773,0.001019994
776,0.001042098
779,0.001068835
782,0.001060645
785,0.00104071
788,0.0010238
791,0.0009324473
794,0.001027107
797,0.0009190405
800,0.0009341019
