Wavelength (nm)	Dilution Corrected Absorbance
230	0.3649191
233	0.3493556
236	0.3358454
239	0.3224707
242	0.3113913
245	0.3007395
248	0.2909956
251	0.2816736
254	0.2736554
257	0.265414
260	0.2574161
263	0.2490049
266	0.2403621
269	0.2319802
272	0.2232977
275	0.2149096
278	0.2067037
281	0.1982691
284	0.1891312
287	0.1817614
290	0.1743116
293	0.1671747
296	0.1609135
299	0.1538456
302	0.1469634
305	0.1403572
308	0.1342122
311	0.128398
314	0.122549
317	0.1171318
320	0.111742
323	0.106392
326	0.1012297
329	0.0964604
332	0.09179345
335	0.08745181
338	0.08324191
341	0.07909882
344	0.07521432
347	0.07149322
350	0.06800796
353	0.06454526
356	0.06121055
359	0.0581916
362	0.05514852
365	0.05228457
368	0.04954615
371	0.04690207
374	0.04432628
377	0.04195091
380	0.03973683
383	0.03769508
386	0.03566231
389	0.03363703
392	0.03181345
395	0.03004416
398	0.02852014
401	0.02702132
404	0.02560398
407	0.02418673
410	0.02284817
413	0.02157266
416	0.02038815
419	0.01931671
422	0.01829136
425	0.01734513
428	0.01647243
431	0.01558925
434	0.01476724
437	0.01401748
440	0.01328027
443	0.01260892
446	0.01196197
449	0.01137053
452	0.01084883
455	0.01033538
458	0.009873145
461	0.009435341
464	0.009011793
467	0.00863726
470	0.008278069
473	0.007910434
476	0.007551149
479	0.007184769
482	0.006879735
485	0.006591143
488	0.006308767
491	0.006041957
494	0.00579415
497	0.005525432
500	0.005279847
503	0.005072193
506	0.004856047
509	0.004665091
512	0.004468123
515	0.004282524
518	0.004105352
521	0.003932389
524	0.003781676
527	0.003616051
530	0.003477461
533	0.003339951
536	0.003199369
539	0.00307961
542	0.002962899
545	0.002832844
548	0.002724438
551	0.002633072
554	0.00254622
557	0.00245266
560	0.00236344
563	0.002297266
566	0.002200629
569	0.002111749
572	0.002052646
575	0.001966888
578	0.001911435
581	0.001832729
584	0.001769773
587	0.001690783
590	0.001634482
593	0.001576072
596	0.00151889
599	0.001465045
602	0.001412569
605	0.001360081
608	0.0013108
611	0.001267346
614	0.001231253
617	0.001178572
620	0.001154037
623	0.001100134
626	0.001077762
629	0.001030647
632	0.001007016
635	0.0009685513
638	0.0009349124
641	0.000904238
644	0.0008892521
647	0.0008578788
650	0.0008381913
653	0.0008266928
656	0.0008026292
659	0.00077007
662	0.0007336176
665	0.0007149233
668	0.0007096828
671	0.0007007853
674	0.0006693615
677	0.0006526029
680	0.000638966
683	0.0005916132
686	0.0005829723
689	0.0005837676
692	0.0005738083
695	0.0005517116
698	0.0005489247
701	0.0005138381
704	0.0005225352
707	0.000529965
710	0.0004937819
713	0.0004674949
716	0.0004370204
719	0.0004102783
722	0.0003772387
725	0.0003978676
728	0.0003983719
731	0.0003972173
734	0.0003618151
737	0.0003425046
740	0.0003371689
743	0.0003373438
746	0.0003397444
749	0.000335199
752	0.0003284071
755	0.0003457177
758	0.0003517084
761	0.0003272173
764	0.0003288136
767	0.0003340626
770	0.000329837
773	0.0003282057
776	0.0003218345
779	0.0003382133
782	0.0003425056
785	0.0003321455
788	0.000361666
791	0.0003242061
794	0.0003067848
797	0.0003077471
800	0.0003328768
