"Wavelength..nm.","Dilution.Corrected.Absorbance"
230,0.09295743
233,0.0795503
236,0.07400478
239,0.07005067
242,0.06720027
245,0.06457804
248,0.06246101
251,0.060385
254,0.05849322
257,0.05648355
260,0.05476904
263,0.05289982
266,0.05099913
269,0.04915371
272,0.047235
275,0.0453583
278,0.04343089
281,0.04141169
284,0.03838266
287,0.03766533
290,0.03590437
293,0.0343335
296,0.03286253
299,0.03137968
302,0.02992907
305,0.02848364
308,0.0271672
311,0.02583055
314,0.02451368
317,0.02325378
320,0.02202974
323,0.02081208
326,0.01973031
329,0.01878472
332,0.01782441
335,0.01697542
338,0.01615546
341,0.0153991
344,0.01465225
347,0.01396859
350,0.01330349
353,0.01265249
356,0.01208935
359,0.01155794
362,0.01101892
365,0.01045067
368,0.009913808
371,0.009361935
374,0.008885768
377,0.008475334
380,0.008089019
383,0.007734557
386,0.00737474
389,0.007001867
392,0.006677499
395,0.00634026
398,0.006059109
401,0.005803554
404,0.005581681
407,0.005370604
410,0.00512958
413,0.00491716
416,0.004701706
419,0.004547975
422,0.004367269
425,0.004197083
428,0.004079032
431,0.004047299
434,0.003896273
437,0.003791238
440,0.003735052
443,0.003624291
446,0.003502027
449,0.003351338
452,0.003236458
455,0.003115751
458,0.003058101
461,0.003043194
464,0.002984939
467,0.002836717
470,0.002874302
473,0.002810192
476,0.002751771
479,0.002727746
482,0.00266907
485,0.002612353
488,0.002609743
491,0.002519973
494,0.002457064
497,0.002397123
500,0.002334145
503,0.002266401
506,0.002249757
509,0.002179915
512,0.002138348
515,0.002143087
518,0.002137972
521,0.002128728
524,0.002101335
527,0.0021068
530,0.002001496
533,0.001976482
536,0.002027662
539,0.002037541
542,0.001997468
545,0.002069118
548,0.001958716
551,0.001945448
554,0.001976308
557,0.001942019
560,0.001929292
563,0.0020159
566,0.002002533
569,0.00197971
572,0.001966121
575,0.001946501
578,0.00193444
581,0.00193149
584,0.001922975
587,0.001928519
590,0.001891601
593,0.001831538
596,0.00178021
599,0.00178372
602,0.001767449
605,0.001733981
608,0.001721211
611,0.001759216
614,0.001801598
617,0.001771681
620,0.001721121
623,0.001809485
626,0.001787164
629,0.001728005
632,0.001658368
635,0.001760611
638,0.001730809
641,0.00169347
644,0.00167509
647,0.001650888
650,0.001675796
653,0.001649522
656,0.001661543
659,0.001685867
662,0.001708978
665,0.001677708
668,0.001662747
671,0.00167219
674,0.001679705
677,0.001655045
680,0.001683534
683,0.001706305
686,0.001632363
689,0.001650245
692,0.001683288
695,0.001595329
698,0.001631952
701,0.001782114
704,0.001711377
707,0.001682324
710,0.001622918
713,0.001567077
716,0.001585038
719,0.001503327
722,0.001494771
725,0.001564605
728,0.001700644
731,0.001730802
734,0.001807223
737,0.001828546
740,0.001836213
743,0.001816002
746,0.001758391
749,0.001775375
752,0.001762867
755,0.001707364
758,0.001719097
761,0.001798414
764,0.00172683
767,0.001771298
770,0.001701264
773,0.001606017
776,0.001587887
779,0.001671444
782,0.00170131
785,0.001606357
788,0.001569113
791,0.001593304
794,0.001501509
797,0.00151686
800,0.001534143
