"","Year","plot_1","min_Cl_ppm","max_Cl_ppm","mean_Cl_ppm","sd_Cl_ppm","min_SO4_ppm","max_SO4_ppm","mean_SO4_ppm","sd_SO4_ppm"
"1","2023","Control",0,34.2586,4.652,10.4533,0,15.3405,3.5937,2.9651
"2","2023","Freshwater",0,211.2593,21.8328,45.2889,0,28.2839,5.9998,4.743
"3","2023","Saltwater",0,3706.9076,1495.7823,1241.769,0,457.36,173.3285,140.8333
"4","2024","Control",0.5591,13.7413,4.5441,3.8717,0.1648,16.0863,2.5349,4.7716
"5","2024","Freshwater",0.2529,21.8991,4.9821,3.6628,0,23.2406,5.3516,4.8068
"6","2024","Saltwater",0,3177.8905,1654.9137,962.6024,2.1851,407.5898,185.1788,111.9082
"7","2025","Control",0.0232,13.8442,3.4403,3.6493,0.0453,3.9657,0.9111,0.8073
"8","2025","Freshwater",0,35.8056,3.812,7.113,0,9.3896,1.6037,1.6211
"9","2025","Saltwater",1.4007,392.6059,56.1152,80.5283,0.863,75.5324,14.8899,19.5532
