"","Zone_1","min_Cl_ppm","max_Cl_ppm","mean_Cl_ppm","sd_Cl_ppm","min_SO4_ppm","max_SO4_ppm","mean_SO4_ppm","sd_SO4_ppm"
"1","Control",0.0232,13.8442,3.7963,3.727,0.0453,16.0863,1.4349,2.8488
"2","Freshwater",0,35.8056,4.5465,5.2258,0,23.2406,3.9564,4.3259
"3","Saltwater",0,3177.8905,1015.2714,1083.474,0.863,407.5898,117.0959,120.9703
