"","Year","plot_1","min_Cl_ppm","max_Cl_ppm","mean_Cl_ppm","sd_Cl_ppm","min_SO4_ppm","max_SO4_ppm","mean_SO4_ppm","sd_SO4_ppm"
"1","2023","Freshwater",0,25.8769,16.0896,12.508,0.014,581.1936,106.4578,232.6485
"2","2023","Saltwater",1507.7995,4300.3781,3675.8716,1073.1776,181.224,571.0464,485.5921,150.3471
"3","2023","Estuary",3636.5862,4335.7195,4065.5902,247.6353,480.7045,581.2849,539.976,35.2623
"4","2024","Freshwater",3.1488,4.6792,4.0111,0.4933,7.9322,8.9432,8.3899,0.3355
"5","2024","Saltwater",3194.8201,3667.6635,3418.0266,136.9883,419.2784,483.8673,451.9032,18.704
"6","2024","Estuary",3269.2374,3860.8575,3621.6212,247.5695,428.4834,511.3148,476.8954,32.6412
