"","Column_Names","Description","Units","Instrument_ifapplicable"
"1","Project","Project name","NA","NA"
"2","Sample_ID","Sample Identifier","NA","NA"
"3","Year","Year of sample collection","NA","NA"
"4","Month","Month of sample collection","NA","NA"
"5","Day","Day of sample collection","NA","NA"
"6","Event_Time","Event sampling time (T1 through T6)","NA","NA"
"7","Time_of_day","Time of day of sample collection (AM, PM, Midday)","NA","NA"
"8","Source","Source of sample (PW=Porewater, Sourcewater, Rainwater","NA","NA"
"9","Volume_mL","Volume of sample collected (mL)","mL","NA"
"10","Collection_Date","Date of sample collection","NA","NA"
"11","Evacuation_Date","Date of sample evacuation","NA","NA"
"12","SO4_ppm","Sulfate concentration in ppm","ppm","Dionex Integrion HPIC (Thermo Fisher)"
"13","SO4_mM","Sulfate concentration in mM","mM","Dionex Integrion HPIC (Thermo Fisher)"
"14","SO4_Conc_flag","Sulfate concentration flag base on standard curve (bdl=below detection limit (0), adl=above detection limit (highest   
                         standard), Within_Range=within detection range)","NA","NA"
"15","SO4_QAQC_flag","Sulfate QAQC Flags generated during checks of standards, blanks, dups, and spks","NA","NA"
"16","Cl_ppm","Chloride concentration in ppm","ppm","Dionex Integrion HPIC (Thermo Fisher)"
"17","Cl_mM","Chloride concentration in mM","mM","Dionex Integrion HPIC (Thermo Fisher)"
"18","Cl_Conc_flag","Chloride concentration flag base on standard curve (bdl=below detection limit (0), adl=above detection limit (highest   
                         standard), Within_Range=within detection range)","NA","NA"
"19","Cl_QAQC_flag","Chloride QAQC Flags generated during checks of standards, blanks, dups, and spks","NA","NA"
"20","salinity","Salinity calculated using the Knudsen equation: Salinity=((1.807*(Chloride ppm)+0.026)/1000","ppt","Dionex Integrion HPIC (Thermo Fisher)"
"21","Analysis_rundate","The date that samples were run on the Dionex IC","NA","NA"
"22","Run_notes","Any notes generated during QAQC","NA","NA"
"23","Field_notes","Notes generated during field sample collection","NA","NA"
