"","plot_1","min_Cl_ppm","max_Cl_ppm","mean_Cl_ppm","sd_Cl_ppm","min_SO4_ppm","max_SO4_ppm","mean_SO4_ppm","sd_SO4_ppm"
"1","Control",0,34.2586,4.6786,7.8976,0,16.0863,2.6372,3.1727
"2","Freshwater",0,211.2593,12.8669,32.6658,0,28.2839,5.0798,4.6418
"3","Saltwater",0,3706.9076,1265.7964,1179.0924,0,457.36,146.1976,132.9082
