"Project","Zone","Grid","Depth","Event_Time","Time_of_day","Sample_ID","Volume_mL","Evacuation_date_YYYMMDD","Collection_Date","Deployment_Date_YYYYMMDD","Deployment_Time_24hrs","Collection_Time_24hrs","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","H2S_mean_uM","H2S_sd_uM","Field_notes"
"TMP","C","H6","15cm","T0",NA,"TMP_C_H6_T0_20240610",5,20240607,20240610,NA,NA,NA,1128,1406,"EDT",0,0,NA
"TMP","FW","C6","15cm","T0",NA,"TMP_FW_C6_T0_20240610",5,20240607,20240610,NA,NA,NA,1434,1349,"EDT",0,0,NA
"TMP","FW","D5","15cm","T0",NA,"TMP_FW_D5_T0_20240610",5,20240607,20240610,NA,NA,NA,1445,1403,"EDT",0,0,NA
"TMP","FW","I5","15cm","T0",NA,"TMP_FW_I5_T0_20240610",5,20240607,20240610,NA,NA,NA,1503,1445,"EDT",0,0,NA
"TMP","FW","C3","15cm","T1",NA,"TMP_FW_C3_T1_20240611",5,20240610,20240611,NA,NA,NA,1409,1417,"EDT",0,0,NA
"TMP","FW","C6","15cm","T1",NA,"TMP_FW_C6_T1_20240611",5,20240610,20240611,NA,NA,NA,1349,1400,"EDT",0,0,NA
"TMP","FW","D5","15cm","T1",NA,"TMP_FW_D5_T1_20240611",5,20240610,20240611,NA,NA,NA,1403,1330,"EDT",0,0,NA
"TMP","FW","F4","15cm","T1",NA,"TMP_FW_F4_T1_20240611",5,20240610,20240611,NA,NA,NA,1419,1343,"EDT",0,0,NA
"TMP","FW","I5","15cm","T1",NA,"TMP_FW_I5_T1_20240611",5,20240610,20240611,NA,NA,NA,1445,1307,"EDT",0,0,NA
"TMP","SW","B4","15cm","T1",NA,"TMP_SW_B4_T1_20240611",5,20240610,20240611,NA,NA,NA,1305,1400,"EDT",0,0,NA
"TMP","SW","F6","15cm","T1",NA,"TMP_SW_F6_T1_20240611",5,20240610,20240611,NA,NA,NA,1325,1337,"EDT",0,0,NA
"TMP","FW","C3","15cm","T2","AM","TMP_FW_C3_T2_20240612",5,20240611,20240612,NA,NA,NA,1417,802,"EDT",0,0,NA
"TMP","FW","C6","15cm","T2","AM","TMP_FW_C6_T2_20240612",5,20240611,20240612,NA,NA,NA,1400,802,"EDT",0,0,NA
"TMP","FW","D5","15cm","T2","AM","TMP_FW_D5_T2_20240612",5,20240611,20240612,NA,NA,NA,1330,843,"EDT",0,0,NA
"TMP","FW","E3","15cm","T2","AM","TMP_FW_E3_T2_20240612",5,20240611,20240612,NA,NA,NA,1340,831,"EDT",0,0,NA
"TMP","FW","F4","15cm","T2","AM","TMP_FW_F4_T2_20240612",5,20240611,20240612,NA,NA,NA,1343,947,"EDT",0,0,NA
"TMP","FW","H3","15cm","T2","AM","TMP_FW_H3_T2_20240612",5,20240611,20240612,NA,NA,NA,1325,1005,"EDT",0,0,NA
